wl,n
3000000,3.31662479
2727272.727,3.31662479
2500000,3.31662479
2307692.308,3.31662479
2142857.143,3.31662479
2000000,3.31662479
1875000,3.31662479
1764705.882,3.31662479
1666666.667,3.31662479
1578947.368,3.31662479
1500000,3.31662479
1428571.429,3.31662479
1363636.364,3.31662479
1304347.826,3.31662479
1250000,3.31662479
1200000,3.31662479
1153846.154,3.31662479
1111111.111,3.31662479
1071428.571,3.31662479
1034482.759,3.31662479
1000000,3.31662479
967741.9355,3.31662479
937500,3.31662479
909090.9091,3.31662479
882352.9412,3.31662479
857142.8571,3.31662479
833333.3333,3.31662479
810810.8108,3.31662479
789473.6842,3.31662479
769230.7692,3.31662479
750000,3.31662479
731707.3171,3.31662479
714285.7143,3.31662479
697674.4186,3.31662479
681818.1818,3.31662479
666666.6667,3.31662479
652173.913,3.31662479
638297.8723,3.31662479
625000,3.31662479
612244.898,3.31662479
600000,3.31662479
588235.2941,3.31662479
576923.0769,3.31662479
566037.7358,3.31662479
555555.5556,3.31662479
545454.5455,3.31662479
535714.2857,3.31662479
526315.7895,3.31662479
517241.3793,3.31662479
508474.5763,3.31662479
500000,3.31662479
491803.2787,3.31662479
483870.9677,3.31662479
476190.4762,3.31662479
468750,3.31662479
461538.4615,3.31662479
454545.4545,3.31662479
447761.194,3.31662479
441176.4706,3.31662479
434782.6087,3.31662479
428571.4286,3.31662479
422535.2113,3.31662479
416666.6667,3.31662479
410958.9041,3.31662479
405405.4054,3.31662479
400000,3.31662479
394736.8421,3.31662479
389610.3896,3.31662479
384615.3846,3.31662479
379746.8354,3.31662479
375000,3.31662479
370370.3704,3.31662479
365853.6585,3.31662479
361445.7831,3.31662479
357142.8571,3.31662479
352941.1765,3.31662479
348837.2093,3.31662479
344827.5862,3.31662479
340909.0909,3.31662479
337078.6517,3.31662479
333333.3333,3.31662479
329670.3297,3.31662479
326086.9565,3.31662479
322580.6452,3.31662479
319148.9362,3.31662479
315789.4737,3.31662479
312500,3.31662479
309278.3505,3.31662479
306122.449,3.31662479
303030.303,3.31662479
300000,3.31662479
,
wl,k
3000000,0
2727272.727,0
2500000,0
2307692.308,0
2142857.143,0
2000000,0
1875000,0
1764705.882,0
1666666.667,0
1578947.368,0
1500000,0
1428571.429,0
1363636.364,0
1304347.826,0
1250000,0
1200000,0
1153846.154,0
1111111.111,0
1071428.571,0
1034482.759,0
1000000,0
967741.9355,0
937500,0
909090.9091,0
882352.9412,0
857142.8571,0
833333.3333,0
810810.8108,0
789473.6842,0
769230.7692,0
750000,0
731707.3171,0
714285.7143,0
697674.4186,0
681818.1818,0
666666.6667,0
652173.913,0
638297.8723,0
625000,0
612244.898,0
600000,0
588235.2941,0
576923.0769,0
566037.7358,0
555555.5556,0
545454.5455,0
535714.2857,0
526315.7895,0
517241.3793,0
508474.5763,0
500000,0
491803.2787,0
483870.9677,0
476190.4762,0
468750,0
461538.4615,0
454545.4545,0
447761.194,0
441176.4706,0
434782.6087,0
428571.4286,0
422535.2113,0
416666.6667,0
410958.9041,0
405405.4054,0
400000,0
394736.8421,0
389610.3896,0
384615.3846,0
379746.8354,0
375000,0
370370.3704,0
365853.6585,0
361445.7831,0
357142.8571,0
352941.1765,0
348837.2093,0
344827.5862,0
340909.0909,0
337078.6517,0
333333.3333,0
329670.3297,0
326086.9565,0
322580.6452,0
319148.9362,0
315789.4737,0
312500,0
309278.3505,0
306122.449,0
303030.303,0
300000,0
